DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2017,1567380,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2018,1564533,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2019,1563538,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2020,1562689,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2021,1565144,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2023,1571757,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2024,1577675,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,1990,3989903,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,1991,4014682,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,1992,4052348,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,1993,4089274,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,1994,4107857,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,1995,4112289,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,1996,4116117,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,1997,4120947,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,1998,4122811,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,1999,4126432,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2000,4133855,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2001,4139842,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2002,4156906,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2003,4170674,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2004,4189973,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2005,4216493,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2006,4239954,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2007,4252922,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2008,4265500,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2009,4278068,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2010,4285442,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2011,4296293,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2012,4309977,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2013,4328238,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2014,4352447,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2015,4384529,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2016,4427918,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2017,4460424,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2018,4483749,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2019,4501742,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2020,4522292,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2021,4535712,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2022,4553444,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2023,4619957,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Austria,2024,4643918,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2000,4097900,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2001,4126500,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2002,4152600,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2003,4179500,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2004,4207200,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2005,4243600,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2006,4284200,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2007,4327700,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2008,4371800,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2009,4538600,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2010,4542083,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2011,4594023,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2012,4651601,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2013,4707690,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2014,4763571,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2015,4817181,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2016,4870002,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2017,4918771,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2018,4960058,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2019,4999053,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2020,5039100,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2021,5065288,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2022,5081846,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2023,5087516,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Azerbaijan,2024,5113564,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,1997,1922585,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2000,1914073,e,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2001,1932756,e,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2002,1944715,e,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2003,1953478,e,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2004,1957082,e,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2005,1959692,e,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2006,1959752,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2007,1960449,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2008,1960361,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2009,1965986,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2010,1966011,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2011,1965701,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bosnia and Herzegovina,2012,1963655,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,1990,5087683,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,1991,5106290,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,1992,5122765,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,1993,5144847,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,1994,5160407,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,1995,5175903,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,1996,5184262,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,1997,5198446,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,1998,5209592,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,1999,5220034,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2000,5233071,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2001,5245395,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2002,5267437,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2003,5288959,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2004,5309245,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2005,5334527,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2006,5367561,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2007,5403126,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2008,5442557,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2009,5484429,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2010,5527684,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2011,5598920,b,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2012,5635601,b,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2013,5665118,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2014,5687048,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2015,5713206,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2016,5741853,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2017,5762455,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2018,5784371,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2019,5810693,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2020,5841215,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2021,5854293,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2022,5883978,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2023,5946649,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belgium,2024,5981093,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,1990,4443535,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,1991,4399271,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,1992,4366016,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,1993,4315730,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,1994,4308125,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,1995,4297452,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,1996,4281347,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,1997,4263435,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,1998,4238235,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,1999,4216300,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2000,4199715,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2001,4182045,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2002,4035676,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2003,4003292,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2004,3973019,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2005,3944453,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2006,3914757,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2007,3886094,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2008,3857635,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2009,3831264,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2010,3807808,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2011,3780505,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2012,3760457,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2013,3701945,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2014,3662824,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2015,3621883,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2016,3578998,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2017,3537549,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2018,3494184,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2019,3450251,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2020,3405861,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2021,3389807,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2022,3364303,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2023,3348207,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2024,3347783,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2000,5316268,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2001,5302718,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2002,5284465,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2003,5260849,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2004,5238879,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2005,5216991,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2006,5195244,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2007,5179429,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2008,5168358,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2009,5160289,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2010,5063266,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2011,5073034,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2012,5066857,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2013,5066314,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2014,5066943,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Belarus,2015,5071671,,
